fragment,data,control,exception
https://github.com/unitsofmeasurement/unit-ri/blob/d412fc0b790d7c050dcfb2cba24a4316ece24b5c/src/main/java/tec/units/ri/internal/format/l10n/DecimalFormat.java#L1927C1-L1931C69,12,0,0
https://github.com/unitsofmeasurement/unit-ri/blob/d412fc0b790d7c050dcfb2cba24a4316ece24b5c/src/main/java/tec/units/ri/internal/format/l10n/DecimalFormat.java#L1941C1-L1946C20,9,0,0
https://github.com/unitsofmeasurement/unit-ri/blob/d412fc0b790d7c050dcfb2cba24a4316ece24b5c/src/main/java/tec/units/ri/internal/format/l10n/DecimalFormat.java#L1895C1-L1900C18,9,0,0
https://github.com/jruby/joni/blob/d4696c4f6dcdd1484895abae4b9b3c62874759e1/src/org/joni/Matcher.java#L341C1-L349C18,5,0,0
https://github.com/jruby/joni/blob/d4696c4f6dcdd1484895abae4b9b3c62874759e1/src/org/joni/Matcher.java#L352C1-L362C18,10,0,0
https://github.com/jruby/joni/blob/d4696c4f6dcdd1484895abae4b9b3c62874759e1/src/org/joni/Matcher.java#L434C1-L442C18,5,0,0
https://github.com/demidenko05/beigesoft-webstore/blob/624d41d82547ff897ca5b3740d8d73cb2dacf052/src/main/java/org/beigesoft/webstore/processor/PrcRefreshItemsInList.java#L776C1-L783C10,1,0,0
https://github.com/demidenko05/beigesoft-webstore/blob/624d41d82547ff897ca5b3740d8d73cb2dacf052/src/main/java/org/beigesoft/webstore/processor/PrcRefreshItemsInList.java#L798C13-L821C14,24,0,0
https://github.com/blackbeard334/djoom3/blob/64362645420c99ac621b051a678de96883e2a329/src/main/java/neo/ui/EditWindow.java#L287C1-L300C26,4,0,0
https://github.com/attoparser/attoparser/blob/e1049dcd8261fe315b679029e711a9f5ea03f1cc/src/main/java/org/attoparser/select/MarkupSelectorItems.java#L148-L149,3,0,0
https://github.com/forcedotcom/wsc/blob/df588f1411b855687b9dfb5cfa69026e92ebb34e/src/main/java/com/sforce/ws/parser/MXParser.java#L1929C1-L1942C12,9,0,1
https://github.com/forcedotcom/wsc/blob/df588f1411b855687b9dfb5cfa69026e92ebb34e/src/main/java/com/sforce/ws/parser/MXParser.java#L1964-L1969,0,0,1
https://github.com/sbesada/java.math.numerical.library/blob/a2f18eda6de69c937183771d3b1f268e606a8871/src/main/java/com/mathlibrary/function/FunctionXs.java#L414C29-L425C30,1,0,3
https://github.com/pingcap/tidb-loadbalance/blob/b1d62a4561fee7c525ae4c640a10f55c4702755b/src/main/java/com/tidb/jdbc/conf/StringInspector.java#L418C24-L425C22,12,0,0
https://github.com/pingcap/tidb-loadbalance/blob/b1d62a4561fee7c525ae4c640a10f55c4702755b/src/main/java/com/tidb/jdbc/conf/StringInspector.java#L453C6-L463C22,12,0,0
https://github.com/jai-imageio/jai-imageio-core/blob/f81bc1ab19faa210ad289c6ae2588bc1157fd07a/src/main/java/com/github/jaiimageio/impl/plugins/bmp/BMPImageReader.java#L470C21-L492C22,20,0,0
https://github.com/albfernandez/itext2/blob/5ac684e2140a3d9a5b4c34dfd2639dcc87884ad0/src/main/java/com/lowagie/text/pdf/PushbuttonField.java#L476C1-L492C27,16,0,0
https://github.com/StarlangSoftware/TurkishMorphologicalAnalysis/blob/26450b47db92b64580a2bfa4a0d7d0bce38edd49/src/main/java/MorphologicalAnalysis/FsmMorphologicalAnalyzer.java#L419C1-L434C30,5,0,0
https://github.com/StarlangSoftware/TurkishMorphologicalAnalysis/blob/26450b47db92b64580a2bfa4a0d7d0bce38edd49/src/main/java/MorphologicalAnalysis/FsmMorphologicalAnalyzer.java#L494C5-L502C26,3,3,0
https://github.com/sbesada/java.math.numerical.library/blob/a2f18eda6de69c937183771d3b1f268e606a8871/src/main/java/com/mathlibrary/function/FunctionX.java#L321C1-L326C18,3,0,1
